Designator,Mid X,Mid Y,Layer,Rotation
C1,47.55, 8.13,Top,0.0
C2,47.14, 9.68,Top,0.0
C8,42.80,-9.14,Top,270.0
C9,42.01, 7.72,Top,270.0
C12,15.70,-4.14,Top,90.0
C15,16.71,-9.42,Top,180.0
C16,28.07,-7.62,Top,0.0
C17,21.49,-3.84,Top,180.0
C18,28.07,-9.65,Top,90.0
C19,28.35,-0.79,Top,90.0
C20,30.43,-0.79,Top,90.0
D1,25.27, 2.77,Top,180.0
D2,22.35, 2.77,Top,0.0
D3,29.13,-5.41,Top,0.0
D4,19.51, 2.95,Top,0.0
FLASH,31.88,10.67,Top,0.0
I2CPULL,36.47, 9.02,Top,180.0
IC1,22.30,-7.32,Top,270.0
IC2,44.65, 0.00,Top,270.0
J1,23.75,11.43,Top,180.0
J2,33.91,-6.60,Top,270.0
J3,33.91, 1.40,Top,270.0
L1,24.60,-2.83,Top,90.0
LED,45.34,-9.14,Top,180.0
Q1,11.53, 7.82,Top,270.0
Q2, 8.31, 8.69,Top,0.0
Q3,15.44, 2.31,Top,0.0
Q5,20.07,-0.30,Top,270.0
Q10, 8.28, 2.13,Top,90.0
Q11, 8.31,-3.58,Top,90.0
Q12, 8.31,-9.40,Top,90.0
R1,14.78, 4.60,Top,270.0
R2,11.51, 9.58,Top,0.0
R3,11.28, 6.07,Top,180.0
R4,43.05, 7.72,Top,270.0
R5,35.69, 6.73,Top,270.0
R6,34.67, 6.73,Top,270.0
R7,28.47, 3.10,Top,180.0
R8,17.78, 5.36,Top,270.0
R9,11.40,-1.40,Top,180.0
R10,11.40,-0.36,Top,180.0
R11,11.40,-2.62,Top,180.0
R12,36.83, 6.73,Top,270.0
R13,11.40,-3.66,Top,180.0
R14,11.40,-4.70,Top,180.0
R15,11.40,-5.74,Top,180.0
R17,37.99, 6.73,Top,270.0
R18,17.32, 1.91,Top,270.0
R22,19.28,-10.11,Top,0.0
R27,29.08,-9.65,Top,270.0
R28,27.05,-9.65,Top,90.0
RESET,15.62,10.67,Top,0.0
