Comment,Designator,Footprint,LCSC Part #
2.2uH,L1,L3X3,C5363890
4.7k,R12,R0402,
5.1k,R7 R8,R0402,
8.2n,C16,C0603,
10k,R4 R5 R6 R17,R0402,
10uF/50V,C12,D/7343-31R,C89596
13k,R27,R0402,
20k,R22,R0402,
22uF,C2,C0603,
44.2k,R28,R0402,
47k,R1 R2 R3 R18,R0402,
100n,C9,C0402,
100n,C17,C0603,
100n/50V,C15,C0603,
100nF,C1 C8,C0402,
100uF,C19 C20,C1206,
330p,C18,C0402,
AONR21357-ES,Q2,PQFN-8,C22379638
DMG2305UX,Q5,MICRO3,C144153
ESP32-C3-MINI-1-N4,IC2,ESP32C3MINI1N4,
IRLHM630TRPBF,Q10 Q11 Q12,PQFN-8,
JUMPER-SMT_2_NC_TRACE_SILK,I2CPULL,SMT-JUMPER_2_NC_TRACE_SILK,
LESD5D5.0CT1G,D1 D2 D4,LESD5D50CT1G,
LMR14050DDAR,IC1,SO08-EPAD,C155484
MMDT5401,Q1 Q3,SC70-6,C54540
MOMENTARY_SWITCH_1TS003B-1600-3500A,FLASH RESET,1TS003B16003500A,C255808
RB070MM-30TR,D3,SOD123-F,C162059
SK6812-EC20,LED,SK6812EC20,
USB-C_GT-USB-7010B,J1,G-SWITCH_GT-USB-7010B,C2837092
USUP_4P_V,J3,1X04_1MM_RA_VERT,C371588
USUP_SPI_CONNECTOR_VERT,J2,1X06_1MM_RA_VERT,C145963
10k,R10 R13 R15,R0402,
56,R9 R11 R14,R0402,
